CO_Fabrica;CO_Cliente;media_unidade
3403208;2301;0,5741900763888889
3403208;2302;0,5579866388888889
3403208;2303;0,36667462500000003
3403208;2304;0,4859138406765677
3403208;2305;0,5365128905573305
3403208;2306;0,5753488667634793
3403208;2307;0,5880904166666666
3403208;2308;0,5769663779648102
3403208;2309;0,462273182137834
3403208;2310;0,6958725236213992
3403208;2311;0,41394497222222226
3403208;2312;0,7697892863213812
3403208;2313;0,8233166166666668
3403208;2314;0,8544472738095238
3403208;2315;0,8101056449213161
3403208;2316;0,8208127633689839
3403208;2317;0,9076274236111112
3403208;2318;0,8448927161665127
3403208;2319;0,7064398755401234
3403208;2320;0,747403
3403208;2321;0,7812125370370371
3403208;2322;0,7160149963450293
3403208;2323;0,7367757222222222
3403208;2324;0,7284663547228728
3403208;2325;0,7137927777777778
3403208;2326;0,7061875092263862
3403208;2327;0,7052279848272642
3403208;2328;0,7551771492726954
3403208;2329;0,8139521111111111
3403208;2330;0,8564204
3403208;2331;0,7351668111859334
3403208;2332;0,8079828472222222
3403208;2333;0,7644388888888889
3403208;2334;0,6972039899033816
3403208;2335;0,728606630647535
3403208;2339;0,8218323494444444
3403208;2340;0,8773037074038867
3403208;2341;0,8823078835639413
3403208;2342;0,9024338674382716
3403208;2343;0,9112434514940239
3403208;2344;0,6115748871514773
3403208;2345;0,6107150262303399
3403208;2346;0,6504603912037037
3403208;2347;0,4247423161290323
3403208;2348;0,33086932530120483
3403208;2349;0,34305169999999996
3403208;2350;0,38309093551673945
3403208;2351;0,37155900000000003
3423909;2305;0,3826313214285714
3423909;2308;0,3942695358974359
3423909;2309;0,4116514888888889
3423909;2310;0,3507622384160756
3423909;2311;0,3765064517006803
3423909;2324;0,39903200000000005
3423909;2326;0,39379891761517616
3423909;2327;0,3392611555555556
3423909;2328;0,35292733615226335
3423909;2329;0,37029405049382713
3423909;2330;0,4936440948566308
3423909;2331;0,3855471814814815
3423909;2332;0,40870934666666675
3423909;2333;0,658394
3423909;2334;0,40546292857142857
3423909;2335;0,4066508279069767
3423909;2336;0,5019338827380952
3423909;2337;0,4951995526334776
3423909;2338;0,4829614070617284
3423909;2339;0,5782307222222222
3423909;2340;0,5680843054707378
3423909;2341;0,5890983767548501
3423909;2342;0,5970121105820106
3423909;2343;0,5665989289362823
3423909;2347;0,7258977940199336
3423909;2348;0,7358633606481482
3423909;2349;0,727283138888889
3423909;2350;0,7062748666897187
3423909;2351;0,7303841851851852
3424402;2301;0,47253436585711395
3424402;2302;0,45344226459221365
3424402;2303;0,411149666374269
3424402;2304;0,45776427830687827
3424402;2305;0,47580085298703434
3424402;2306;0,4180799792654579
3424402;2307;0,47823201355448547
3424402;2308;0,41500967639446673
3424402;2309;0,5017888845814564
3424402;2310;0,40415935199999997
3424402;2311;0,5837752385593634
3424402;2319;0,405730152
3424402;2320;0,34749
3424402;2321;0,331695
3424402;2322;0,3381727
3424402;2324;0,36577933333333335
3424402;2326;0,343075370523416
3424402;2327;0,31775425
3424402;2328;0,41470615021645024
3424402;2329;0,24724320833333333
3424402;2331;0,3580203777777778
3424402;2332;0,3316252333333333
3424402;2333;0,3391214
3424402;2334;0,34364429523809525
3424402;2335;0,3610563510890152
3424402;2336;0,7063272648809524
3424402;2337;0,7349870454872348
3424402;2338;0,7046077822573562
3424402;2344;0,49021023879964304
3424402;2345;0,4932261974654378
3424402;2346;0,5481326095238095
3424402;2347;0,8810685412905093
3424402;2348;0,8919773951129553
3424402;2349;0,995801875
3424402;2350;0,922071594345238
3424402;2351;1,235008888888889
